"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"6588b519b167a2b74006f3a714e6f93b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"1cd5fbfb3a6a3442f6f24bfd7fae0508","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"1af3060c0203c3bf13327d4c2d8571bd","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"51ff0c76690c9dae6c49bbb7e483ca3c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"3bbbee2eb0a663850d37b5964c76f84f","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"c9481f10034577e59f73c46076a64e94","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"0af712882dbade40b8e7ebcc94305b19","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"3bd138df924151d9404a45713cf0829b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"cfe200a792629ea210431b530400d50d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"8050736814f7ec98b6107fee45be5a4e","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"bb97976d4a02e685d8065f8d71fa23f2","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"16447f689cabc3ccaad3dd74707d896c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"ac04c7cb716df5e6aa678678f912bab8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"8a98994ea9ad4d66dd2c0229db75bb31","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"0c6547c3906e85b89271cb0f060e02df","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"4923737364b7f8affb6531877e952e01","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"b0ed6ad4437c52be009290fd7df5ac4d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"09a3f7c6bd5ce6b0d2c0c56b066dea51","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"7e5ab080273e080c3f70879c0b8c973b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"db8d6f55ee5214cc040c6de0d8b32235","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"f45fd3257171f124452f0ce6ae3bac2b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"6f00ce8c0b6fa698cd30d564c0be5148","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"ec7874918bc07f4ced50a463b87d7370","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"ac7cc8f3240f603296f778cb9322a9ac","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"e727aa030d6bfee01f6d26204e55448d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"2121c2b86897672270e287d76a56cf36","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"cbd20bfda43b94f03c9ea57d62535680","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"eeb91fd2f339d1b3a5bf2bbaf9272818","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"f1614fd8790adc0db79012e1887eddb3","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Fonsecaea multimorphosa","D_6__Fonsecaea multimorphosa"
"9a8416ebd03ef991d2e872708c42d89d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"52a85206475543083c82d246d3f703d4","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"c18a8a3a204084b579a322c47962f4ba","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"2cb13305f332ec79a427bc126af056bb","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"d8f68e5c04c0ac1c5c76179ad91068ab","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"18ab4b8464265c339178b51448359aed","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"05c02f97a8adc171513c8a4ae915574d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"345dddd578c42e138d130ce1bea5acd9","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"82348a8c914c9f3c97fde6fac683f9e9","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"725b5876680856dd581257df94223e00","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"510c4171ec1629078a930e5ee9c58845","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"b29376c48932709719c45e173ecce5da","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"192de926a889b22d9d3fd0fa0fc43f3e","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"0d257e919acf8fd2d4778f9122ac7d61","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"6b71a069df262e744629b4831487e563","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"cc143da383a7a2c10de4a7e415cb904b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Cladophialophora bantiana","D_6__Cladophialophora bantiana"
"1dd73346bf7e30212db121cd082b65cc","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"0fcc31f8280c5ebcb9e0eb2d4de361f8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"35b4a1bad12f7598e9cd5a989eaf735f","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"d2fa3b3167f53fe8e12f18ae75b4d5ee","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"b3ecbb493c8e0221571310df62d63ef3","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"6201e56a19ba05b07ca97206fcfcee14","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"067e13f37259f07c2983af1ac0b1cc82","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"148cac42a6e3abb99369749b1021b7e0","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"e8b54f2da44bf2fe498cab13d36021a9","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"28e91042eea95b9998d718f57c18d5a4","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"38a2317504fe45662fba12c0abd74743","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"9070affa7360a55ad27fb98e7a2f9e8b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
